comparison_identifier,comparison_name,image_identifier,question,reference_type,admissible_or_required_reference_set,exact_direction_category,direction_family,first_condition,first_prediction,first_correct,second_condition,second_prediction,second_correct,change
B,unannotated_scene_rectification,IMG_3311.JPG,Where is Restrooms?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"[""left"", ""locational""]",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Auditorium?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Computer Lab?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Economics Department Office (Room 3504)?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Economics Department Office?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Lobby?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Men's Room?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Room 3100?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Room 3210?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Room 3400?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Room 3510?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Rooms 3100 to 3210?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Rooms 3400 to 3510?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is Russell Sage Lab. 3rd Floor?,scalar,locational,scalar:{locational},locational,original_raw_no_annotation,"""locational""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is SAGE 3101 Computer Lab/Classroom?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is SAGE 3303 Auditorium?,scalar,left,scalar:{left},horizontal,original_raw_no_annotation,"""left""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3319.JPG,Where is The Beanery Cafe?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
B,unannotated_scene_rectification,IMG_3349.JPG,Where is 1201 - 1301?,scalar,down,scalar:{down},vertical_forward,original_raw_no_annotation,"""down-right""",False,original_rectified_no_annotation,"""down""",True,improved
B,unannotated_scene_rectification,IMG_3349.JPG,Where is 1201?,scalar,down,scalar:{down},vertical_forward,original_raw_no_annotation,"""down-right""",False,original_rectified_no_annotation,"""down""",True,improved
B,unannotated_scene_rectification,IMG_3349.JPG,Where is 1301?,scalar,down,scalar:{down},vertical_forward,original_raw_no_annotation,"""down-right""",False,original_rectified_no_annotation,"""down""",True,improved
B,unannotated_scene_rectification,IMG_3391.JPG,Where is 2nd Floor?,scalar,straight,scalar:{straight},vertical_forward,original_raw_no_annotation,"""straight""",True,original_rectified_no_annotation,"""straight-right""",False,worsened
B,unannotated_scene_rectification,IMG_3391.JPG,Where is 3rd Floor?,scalar,straight,scalar:{straight},vertical_forward,original_raw_no_annotation,"""straight""",True,original_rectified_no_annotation,"""straight-right""",False,worsened
B,unannotated_scene_rectification,IMG_3432.JPG,Where is Room 202A?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""left""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3432.JPG,Where is Women's Restroom?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""left""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3443.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""straight""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3443.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""straight""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3443.JPG,Where is 3051?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""straight""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3483.JPG,Where is Design Lab?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"[""left"", ""right""]",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3483.JPG,Where is JEC 3232?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"[""left"", ""right""]",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3483.JPG,Where is THE DESIGN LAB?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"[""left"", ""right""]",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3503.JPG,Where is Earth Sciences?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""unknown""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3617.JPG,Where is Resident Life & Student Dining Services?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""down""",False,original_rectified_no_annotation,"""right""",True,improved
B,unannotated_scene_rectification,IMG_3625.JPG,Where are Deliveries?,scalar,right,scalar:{right},horizontal,original_raw_no_annotation,"""right""",True,original_rectified_no_annotation,"""ERROR""",False,worsened
C,annotated_scene_rectification,IMG_3311.JPG,Where is Restrooms?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"[""left"", ""locational""]",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is 4100 to 4306?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is 4400 to 4711?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Elevator?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4100?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4101?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4112?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4203?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4306?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4400?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4510?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Room 4711?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Russell Sage Laboratory 4th Floor?,scalar,locational,scalar:{locational},locational,raw_crop_multiview,"""ERROR""",False,full_multiview,"""locational""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is SAGE 4101 Classroom?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is SAGE 4112 Classroom?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is SAGE 4203 Classroom?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is SAGE 4510 Classroom?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is SAGE 4711 Classroom?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3323.JPG,Where is Women's Room?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3364.JPG,Where is CONFERENCE ROOM?,scalar,left,scalar:{left},horizontal,raw_crop_multiview,"""unknown""",False,full_multiview,"""left""",True,improved
C,annotated_scene_rectification,IMG_3391.JPG,Where is 2nd Floor?,scalar,straight,scalar:{straight},vertical_forward,raw_crop_multiview,"""straight""",True,full_multiview,"""straight-right""",False,worsened
C,annotated_scene_rectification,IMG_3391.JPG,Where is 3rd Floor?,scalar,straight,scalar:{straight},vertical_forward,raw_crop_multiview,"""straight""",True,full_multiview,"""straight-right""",False,worsened
C,annotated_scene_rectification,IMG_3391.JPG,Where is Mathematical Sciences?,scalar,straight-right,scalar:{straight-right},diagonal,raw_crop_multiview,"[""straight-right"", ""locational""]",False,full_multiview,"""straight-right""",True,improved
C,annotated_scene_rectification,IMG_3393.JPG,Where is 4th floor?,alternatives,straight|straight-right,"alternatives:{straight,straight-right}",mixed_multi_direction,raw_crop_multiview,"[""straight"", ""down""]",False,full_multiview,"""straight""",True,improved
C,annotated_scene_rectification,IMG_3393.JPG,Where is Mathematical Sciences 4th Floor?,scalar,straight-right,scalar:{straight-right},diagonal,raw_crop_multiview,"""down""",False,full_multiview,"""straight-right""",True,improved
C,annotated_scene_rectification,IMG_3397.JPG,Where is Department of Mathematical Sciences Room 301?,scalar,locational,scalar:{locational},locational,raw_crop_multiview,"""locational""",True,full_multiview,"""right""",False,worsened
C,annotated_scene_rectification,IMG_3406.JPG,Where is 3rd Floor?,scalar,locational,scalar:{locational},locational,raw_crop_multiview,"""ERROR""",False,full_multiview,"""locational""",True,improved
C,annotated_scene_rectification,IMG_3406.JPG,Where is Mathematical Sciences Office?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3406.JPG,Where is Room 301?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""ERROR""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3442.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3442.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3442.JPG,Where is 3051?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3443.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3443.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3443.JPG,Where is 3051?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""straight""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3465.JPG,Where is RPI's College Radio Station?,scalar,down,scalar:{down},vertical_forward,raw_crop_multiview,"""down-left""",False,full_multiview,"""down""",True,improved
C,annotated_scene_rectification,IMG_3465.JPG,Where is WRPI 91.5 FM?,scalar,down,scalar:{down},vertical_forward,raw_crop_multiview,"""down-left""",False,full_multiview,"""down""",True,improved
C,annotated_scene_rectification,IMG_3484.JPG,Where is Design Lab?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3484.JPG,Where is JEC 3232?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3484.JPG,Where is THE DESIGN LAB?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3485.JPG,Where is Design Lab?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3485.JPG,Where is JEC 3232?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3485.JPG,Where is THE DESIGN LAB?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"[""left"", ""right""]",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3617.JPG,Where is Admissions?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""down-right""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3617.JPG,Where is Resident Life & Student Dining Services?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""down""",False,full_multiview,"""right""",True,improved
C,annotated_scene_rectification,IMG_3624.JPG,Where are Deliveries?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""right""",True,full_multiview,"""ERROR""",False,worsened
C,annotated_scene_rectification,IMG_3625.JPG,Where are Deliveries?,scalar,right,scalar:{right},horizontal,raw_crop_multiview,"""right""",True,full_multiview,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3308.JPG,Where is Restrooms?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"[""left"", ""locational""]",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Auditorium?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Computer Lab?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Economics Department Office?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Lobby?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Men's Room?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Room 3100?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Room 3210?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Room 3400?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Room 3510?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Rooms 3100 to 3210?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Rooms 3400 to 3510?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is Russell Sage Lab. 3rd Floor?,scalar,locational,scalar:{locational},locational,original_only,"""locational""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is SAGE 3101 Computer Lab/Classroom?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is SAGE 3303 Auditorium?,scalar,left,scalar:{left},horizontal,original_only,"""left""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3320.JPG,Where is The Beanery Cafe?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""ERROR""",False,worsened
D,add_raw_crops_to_original,IMG_3347.JPG,Where is 1201 - 1301?,scalar,down,scalar:{down},vertical_forward,original_only,"""down-right""",False,original_raw_no_annotation,"""down""",True,improved
D,add_raw_crops_to_original,IMG_3347.JPG,Where is 1201?,scalar,down,scalar:{down},vertical_forward,original_only,"""down-right""",False,original_raw_no_annotation,"""down""",True,improved
D,add_raw_crops_to_original,IMG_3347.JPG,Where is 1301?,scalar,down,scalar:{down},vertical_forward,original_only,"""down-right""",False,original_raw_no_annotation,"""down""",True,improved
D,add_raw_crops_to_original,IMG_3391.JPG,Where is Mathematical Sciences?,scalar,straight-right,scalar:{straight-right},diagonal,original_only,"[""straight-right"", ""locational""]",False,original_raw_no_annotation,"""straight-right""",True,improved
D,add_raw_crops_to_original,IMG_3397.JPG,Where is Department of Mathematical Sciences Room 301?,scalar,locational,scalar:{locational},locational,original_only,"""straight-right""",False,original_raw_no_annotation,"""locational""",True,improved
D,add_raw_crops_to_original,IMG_3402.JPG,Where is Mathematical Sciences?,scalar,right,scalar:{right},horizontal,original_only,"""right""",True,original_raw_no_annotation,"""unknown""",False,worsened
D,add_raw_crops_to_original,IMG_3442.JPG,Where is 3039?,scalar,right,scalar:{right},horizontal,original_only,"""straight""",False,original_raw_no_annotation,"""right""",True,improved
D,add_raw_crops_to_original,IMG_3442.JPG,Where is 3045?,scalar,right,scalar:{right},horizontal,original_only,"""straight""",False,original_raw_no_annotation,"""right""",True,improved
